patient,series,view,dice_dense,dice_ensemble
DBT-P00429,4896_42,MLO,0.1577125433615974,0.3050732884844047
DBT-P00465,20311_45,MLO,0.31838447481936477,0.76818871865832
DBT-P00488,1564_37,CC,0.9290940546998997,0.9290940546998997
DBT-P00499,10437_51,MLO,0.9249710302629306,0.8790880340743632
DBT-P00502,15593_50,MLO,0.6069938838233531,0.846660841394043
DBT-P00514,21385_40,MLO,0.18125655433359938,0.5216534571875894
DBT-P00520,15493_38,MLO,0.8654049196434951,0.8975559841441777
DBT-P00531,9847_42,MLO,0.19075701479474783,0.332999135640241
DBT-P00538,14157_36,CC,0.8959882185595226,0.8959882185595226
DBT-P00562,18542_38,MLO,0.33000948468972213,0.7595048239880419
DBT-P00595,7818_46,CC,0.7428513165178982,0.7428566521206036
DBT-P00617,9699_44,CC,0.13824444268110556,0.1812671912974695
DBT-P00624,13916_38,MLO,0.6514563439940882,0.7969232265328703
DBT-P00642,16363_39,MLO,0.2097950839080707,0.5984821833889145
DBT-P00644,13544_51,MLO,0.7450380988097562,0.9050807794060312
DBT-P00681,21815_40,CC,0.6293171627039537,0.6293880757138752
DBT-P00688,14533_42,CC,0.6873684988956246,0.6873684988956246
DBT-P00722,18878_42,MLO,0.7087391457438931,0.818117434719008
DBT-P00732,4286_41,MLO,0.5379788259095131,0.5664893039202125
DBT-P00737,3462_50,MLO,0.18118252275604707,0.3618438043963851
DBT-P00751,5958_38,MLO,0.6670279062726897,0.8658553353438202
DBT-P00775,13020_39,MLO,0.3705233850829458,0.7649768276122261
DBT-P00781,16481_38,MLO,0.7236256333210657,0.8871969082851534
DBT-P00795,21800_42,CC,0.9658121114815041,0.9649850954949172
DBT-P00806,18576_41,CC,0.6988903317568066,0.6989449373734349
DBT-P00833,14395_45,MLO,0.5643129441218822,0.9314128121565258
DBT-P00845,2236_35,MLO,0.743511073254737,0.8236625245009799
DBT-P00853,20975_39,MLO,0.8051759835637843,0.8784796305614349
DBT-P00858,4666_43,MLO,0.1876608548191686,0.2659730963334034
DBT-P00881,19090_42,CC,0.3533263788092701,0.353555286273281
DBT-P00887,7144_38,CC,0.8817741730208205,0.8829233126228849
DBT-P00890,13334_38,MLO,0.7565275848336052,0.9014201146558859
DBT-P00892,18700_42,MLO,0.3476500746710773,0.5097423967282257
DBT-P00910,14693_4,CC,0.6930968093259178,0.6930968093259178
DBT-P00930,14871_4,MLO,0.5627153649414872,0.8877877453454757
DBT-P00942,16702_41,MLO,0.3777466985251602,0.6028191161901801
DBT-P00943,11911_41,MLO,0.6979810961979943,0.9487660821798571
DBT-P00949,22008_42,MLO,0.29207452194975564,0.5169801165992853
DBT-P00962,19500_40,MLO,0.15783400241006934,0.5809594882073206
DBT-P00986,17442_41,CC,0.5855540699444305,0.6482726642008093
DBT-P00992,16515_40,MLO,0.4834512467794886,0.7242722874576588
DBT-P00993,19459_35,MLO,0.933671811627792,0.9610354704962375
DBT-P01017,4997_37,MLO,0.2317654552505809,0.7722501958716192
DBT-P01021,19622_37,MLO,0.6914876806708441,0.9092635602503268
DBT-P01032,21460_43,CC,0.8833840580890677,0.8833840580890677
DBT-P01035,8562_42,CC,0.8456426522133149,0.8456426522133149
DBT-P00023,19712_34,CC,0.8805886395601734,0.8805900268562606
DBT-P00032,9670_36,MLO,0.5795467593609646,0.8483125849547013
DBT-P00052,2863_42,MLO,0.719270436858396,0.8701326406271033
DBT-P00076,2877_37,CC,0.9027462854197698,0.9027513545317913
DBT-P00109,3593_42,MLO,0.5957137157343845,0.9239097871971851
DBT-P00116,5578_39,MLO,0.8297513268980077,0.9461001168393737
DBT-P00120,901_45,MLO,0.6381807868621423,0.8892279878676638
DBT-P00125,21991_40,CC,0.8978226852076356,0.8978264849115002
DBT-P00128,22029_45,MLO,0.1473939160018681,0.32373732578260284
DBT-P00140,16205_37,MLO,0.7565643938709833,0.9416828964624412
DBT-P00141,21414_35,MLO,0.8553791289380593,0.8826930940991816
DBT-P00152,7999_45,CC,0.24254402399545785,0.24359864641369697
DBT-P00156,14576_38,CC,0.9086260080797665,0.9193618564603894
DBT-P00204,6107_38,CC,0.8434624247585673,0.8464040912374616
DBT-P00209,7107_42,CC,0.8594895250865611,0.8627156454098098
DBT-P00310,12296_37,MLO,0.656467724052052,0.658543346141151
DBT-P00315,13692_38,CC,0.8589844092754209,0.8593626136117538
DBT-P00398,15596_43,MLO,0.7325728023175951,0.9149446797660701
DBT-P00421,3189_40,CC,0.6809029267331408,0.6809086302600318
DBT-P00428,3119_40,CC,0.8338775737420824,0.833877815935449
DBT-P00444,14878_41,MLO,0.7812720570043871,0.9245359340647495
DBT-P00465,20312_40,CC,0.747790832693708,0.747790832693708
DBT-P00491,15050_40,CC,0.8192700102150755,0.8192700102150755
DBT-P00499,10438_41,CC,0.8642133989782392,0.8642133989782392
DBT-P00510,15010_53,MLO,0.24405872336271717,0.3387844279172324
DBT-P00514,21386_43,CC,0.1810470702020892,0.18952035958527175
DBT-P00523,14438_46,CC,0.33345455930045137,0.33362312477445477
DBT-P00531,9848_47,CC,0.42328270831001336,0.42846981731874684
DBT-P00552,8275_50,MLO,0.16120937843038213,0.31049861001579776
DBT-P00562,18543_41,CC,0.611424589230176,0.6114253973245588
DBT-P00610,18137_37,CC,0.9579919428656706,0.957991966097043
DBT-P00617,9700_46,MLO,0.03701541716205793,0.08130002923031594
DBT-P00632,6563_37,MLO,0.6777488271259273,0.9132678176549772
DBT-P00642,16364_39,MLO,0.35235453843455644,0.5834979626279588
